SKU_ID,ASIN,Product_Title,Brand,Category,Seller_Name,MRP_INR,Selling_Price_INR,Base_Discount_%,Stock_Quantity,Rating,Total_Reviews,Is_Prime,Product_URL
RKWI-NIV-BEA-10001,B0UUBCXULJ,Nivea Beauty & Hygiene Product (250ml),Nivea,Beauty & Hygiene,Cloudtail India,1706.34,1486.22,12.9,281,4.1,22024,True,https://www.amazon.in/dp/B0UUBCXULJ
RKWI-SEN-HOM-10002,B0WUDTSEMC,Sensodyne Home Care Product (250ml),Sensodyne,Home Care,RK World InfoCom Private Limited,685.28,602.36,12.1,458,4.7,23068,True,https://www.amazon.in/dp/B0WUDTSEMC
RKWI-HIM-ORA-10003,B0T7D5J60F,Himalaya Oral Care Product (100g),Himalaya,Oral Care,Appario Retail Private Ltd,775.22,695.37,10.3,361,3.8,20797,False,https://www.amazon.in/dp/B0T7D5J60F
RKWI-L'O-BEA-10004,B04DPJA1WJ,L'Oreal Beauty & Hygiene Product (Pack of 2),L'Oreal,Beauty & Hygiene,Cloudtail India,1877.95,1524.9,18.8,447,4.3,3680,True,https://www.amazon.in/dp/B04DPJA1WJ
RKWI-PON-BAB-10005,B0UFEL6246,Pond's Baby Care Product (100g),Pond's,Baby Care,Cocoblu Retail,603.18,535.62,11.2,115,4.0,18361,False,https://www.amazon.in/dp/B0UFEL6246
RKWI-ARI-ORA-10006,B0IF2GOG72,Ariel Oral Care Product (500g),Ariel,Oral Care,Cloudtail India,1087.11,851.21,21.7,762,4.6,8757,True,https://www.amazon.in/dp/B0IF2GOG72
RKWI-PON-PER-10007,B04I3QK2IA,Pond's Personal Care Product (Single Unit),Pond's,Personal Care,Cocoblu Retail,562.51,488.26,13.2,895,3.6,9161,True,https://www.amazon.in/dp/B04I3QK2IA
RKWI-L'O-BEA-10008,B0E8G8JDP0,L'Oreal Beauty & Hygiene Product (Pack of 3),L'Oreal,Beauty & Hygiene,Cloudtail India,851.83,679.76,20.2,533,3.7,18908,True,https://www.amazon.in/dp/B0E8G8JDP0
RKWI-COL-HEA-10009,B07TZ0YNCX,Colgate Health & Wellness Product (Single Unit),Colgate,Health & Wellness,RK World InfoCom Private Limited,891.48,777.37,12.8,878,3.7,9855,True,https://www.amazon.in/dp/B07TZ0YNCX
RKWI-HIM-BEA-10010,B0KEP7Y6WK,Himalaya Beauty & Hygiene Product (Pack of 3),Himalaya,Beauty & Hygiene,RK World InfoCom Private Limited,1414.05,1343.35,5.0,303,3.8,19019,True,https://www.amazon.in/dp/B0KEP7Y6WK
