SKU_ID,ASIN,Product_Title,Brand,Category,Seller_Name,MRP_INR,Selling_Price_INR,Base_Discount_%,Stock_Quantity,Rating,Total_Reviews,Is_Prime,Product_URL,July_Total_Revenue_INR,July_Order_Count
RKWI-HIM-HOM-12715,B0VB2HQBWO,Himalaya Home Care Product (Pack of 2),Himalaya,Home Care,RK World InfoCom Private Limited,2318.11,2183.66,5.8,20,3.8,13566,True,https://www.amazon.in/dp/B0VB2HQBWO,87572.72,11.0
RKWI-DET-BEA-17742,B0NGHS72DF,Dettol Beauty & Hygiene Product (Pack of 3),Dettol,Beauty & Hygiene,RK World InfoCom Private Limited,2400.75,2165.48,9.8,34,4.9,14952,True,https://www.amazon.in/dp/B0NGHS72DF,74157.58,12.0
RKWI-SEN-BAB-14709,B0X7GVDP1Z,Sensodyne Baby Care Product (Single Unit),Sensodyne,Baby Care,RK World InfoCom Private Limited,2438.51,2265.38,7.1,40,4.2,12942,True,https://www.amazon.in/dp/B0X7GVDP1Z,66958.21,7.0
RKWI-SUR-ORA-17701,B0T1SK3HB3,Surf Excel Oral Care Product (250ml),Surf Excel,Oral Care,RK World InfoCom Private Limited,2459.56,1908.62,22.4,45,4.6,7897,True,https://www.amazon.in/dp/B0T1SK3HB3,66803.66,8.0
RKWI-PON-BEA-11721,B046IW7UV4,Pond's Beauty & Hygiene Product (100g),Pond's,Beauty & Hygiene,RK World InfoCom Private Limited,2400.33,2028.28,15.5,42,4.2,802,True,https://www.amazon.in/dp/B046IW7UV4,59213.53,7.0
RKWI-DET-PER-15787,B0N1G2GNFN,Dettol Personal Care Product (750ml),Dettol,Personal Care,RK World InfoCom Private Limited,2375.64,2133.32,10.2,13,4.5,7216,False,https://www.amazon.in/dp/B0N1G2GNFN,54864.49,6.0
RKWI-PAM-HEA-11158,B09H0Y05ML,Pampers Health & Wellness Product (100g),Pampers,Health & Wellness,RK World InfoCom Private Limited,2207.76,1677.9,24.0,12,3.6,610,True,https://www.amazon.in/dp/B09H0Y05ML,52929.0,8.0
RKWI-L'O-BEA-12219,B0VY4H03B2,L'Oreal Beauty & Hygiene Product (Pack of 3),L'Oreal,Beauty & Hygiene,RK World InfoCom Private Limited,2302.55,2000.92,13.1,22,3.9,11506,True,https://www.amazon.in/dp/B0VY4H03B2,51902.72,7.0
RKWI-HIM-ORA-11659,B00TD0DOF8,Himalaya Oral Care Product (Pack of 2),Himalaya,Oral Care,RK World InfoCom Private Limited,2091.33,1898.93,9.2,13,4.3,9705,True,https://www.amazon.in/dp/B00TD0DOF8,50835.97,6.0
RKWI-SEN-HEA-11016,B0QT7ZVNBI,Sensodyne Health & Wellness Product (1L),Sensodyne,Health & Wellness,Cocoblu Retail,1901.39,1775.9,6.6,19,4.9,9447,False,https://www.amazon.in/dp/B0QT7ZVNBI,50494.69,11.0
RKWI-SUR-HEA-19279,B0WK5QPTP4,Surf Excel Health & Wellness Product (250ml),Surf Excel,Health & Wellness,RK World InfoCom Private Limited,2220.47,2087.24,6.0,28,3.6,15795,True,https://www.amazon.in/dp/B0WK5QPTP4,48357.03,6.0
RKWI-L'O-HOM-14243,B0GV9WADGI,L'Oreal Home Care Product (100g),L'Oreal,Home Care,RK World InfoCom Private Limited,2403.14,1874.45,22.0,23,4.4,3362,True,https://www.amazon.in/dp/B0GV9WADGI,47624.23,9.0
RKWI-ARI-BAB-12475,B0HDDQEF0S,Ariel Baby Care Product (250ml),Ariel,Baby Care,RK World InfoCom Private Limited,2488.51,2174.96,12.6,16,4.4,122,True,https://www.amazon.in/dp/B0HDDQEF0S,47493.79,6.0
RKWI-SUR-PER-17426,B0IRPBXQ07,Surf Excel Personal Care Product (100g),Surf Excel,Personal Care,RK World InfoCom Private Limited,2212.1,2061.68,6.8,45,3.7,13292,True,https://www.amazon.in/dp/B0IRPBXQ07,47418.64,6.0
RKWI-COL-HEA-10437,B0QHR133NO,Colgate Health & Wellness Product (1L),Colgate,Health & Wellness,Appario Retail Private Ltd,2081.6,1973.36,5.2,20,3.6,998,True,https://www.amazon.in/dp/B0QHR133NO,46298.979999999996,6.0
